產業類別,公司代號,公司名稱,非擔任主管職務之全時員工資訊-員工薪資總額(仟元),非擔任主管職務之全時員工資訊-員工人數-年度平均(人),非擔任主管職務之全時員工資訊-員工薪資-平均數(仟元/人)-109年,非擔任主管職務之全時員工資訊-員工薪資-平均數(仟元/人)-108年,非擔任主管職務之全時員工資訊-員工薪資-中位數(仟元/人)-109年,非擔任主管職務之全時員工資訊-員工薪資-中位數(仟元/人)-108年,非擔任主管職務之全時員工資訊-每股盈餘(元/股),同業公司資訊-員工薪資-平均數(仟元/人),同業公司資訊-平均每股盈餘(元/股),薪資統計情形-非經理人之全時員工薪資平均數未達50萬元,薪資統計情形-公司EPS獲利表現較同業為佳，惟非經理人之全時員工薪資平均數低於同業水準,薪資統計情形-公司EPS較前一年度成長，惟非經理人之全時員工薪資平均數較前一年度減少),薪資統計情形-公司經營績效與員工薪酬之關聯性及合理性說明
電子通路業,8112,至上,169751,146,"1,163","1,249","1,014","1,151",4.22,981,4.13,,,V,"本公司109年度因部分員工晉升至主管職務，且因應營運規模擴大，聘請增加業務同仁，新進員工人數增加致非主管職務之全時員工平均薪資略有減少，排除晉升主管職及新進
同仁後，原區間之同仁平均薪資仍為成長。"
電腦及週邊設備業,8114,振樺電,191737,313,613,602,498,494,1.65,1205,4.57,,,,
半導體業,8131,福懋科,1279631,2413,530,529,516,498,3.17,1412,9.78,,,,
半導體業,8150,南茂,4899538,5364,913,856,845,789,3.26,1412,9.78,,,,
電腦及週邊設備業,8163,達方,905994,810,"1,119","1,118",947,977,3.23,1205,4.57,,,,
其他電子業,8201,無敵,93069,112,831,853,799,815,-0.76,1179,6.63,,,V,109年較108年非擔任主管職務之全時員工薪資減少，主要係較資深年資久之人員退休，新進人員較多所致 。
電腦及週邊設備業,8210,勤誠,233060,179,"1,302","1,357","1,058","1,191",8.16,1205,4.57,,,V,2020年EPS較2019年成長，主因公司處分不動產，產生處分利益影響，扣除前述不動產利益，2020年EPS是低於2019年的。
電子零組件業,8213,志超,563270,360,"1,565","1,423","1,290","1,018",7.28,851,5.15,,,,
光電業,8215,明基材,1282488,1379,930,925,728,725,1.23,889,1.04,,,,
電機機械,8222,寶一,105152,228,461,533,437,510,-0.58,713,1.57,V,,,"109年度本公司受疫情影響,營收大幅下滑(下滑48.51%),以致公司淨損近四千萬。
1.員工加班需求大幅降低,加班費減少
2.公司虧損,按照公司章程規定,員工酬勞為0
3.公司虧損,年終獎金只發基本一個月本薪,年終獎金減少"
電子零組件業,8249,菱光,87604,67,"1,308","1,615","1,104","1,373",1.5,851,5.15,,,V,"本公司員工薪資含固定薪資,員工酬勞及獎金,員工酬勞及獎金係依據前年度獲利表現。108年獲利較107年減少11.7%,影響109年員工酬勞及獎金,109年與108年比較,平均獎金酬勞減少約30%,故年度薪資平均數較前一年度減少。"
半導體業,8261,富鼎,121911,108,"1,129",989,948,830,2.44,1412,9.78,,,,
半導體業,8271,宇瞻,413761,476,869,909,729,742,2.88,1412,9.78,,,,
綠能環保,8341,日友,312055,331,943,961,681,679,8.91,797,3.81,,,,
航運業,8367,建新國際,281101,410,686,670,661,615,2.73,1095,1.63,,V,,本公司營運係以航運業之相關物流服務為主軸，平均薪酬水準位於同業市場行情，因經營模式、市場規模及行業屬性的不同，薪酬行情本不應與航空、海運相比較。公司另提供定期調薪、股票獎酬以護同仁對企業之凝聚力。
電機機械,8374,羅昇,82852,101,820,741,724,736,0.78,713,1.57,,,,
綠能環保,8422,可寧衛,54675,73,749,786,586,566,10.81,797,3.81,,V,,"1.其他行業別組成複雜，彼此間行業特性
  差異大，綜合比較易失真。

2.因應未來營運成長及持續強化競爭力，
  110年度已全面調整薪資。"
貿易百貨,8443,阿瘦,287263,541,531,506,487,449,-2.81,838,3.32,,,,
數位雲端,8454,富邦媒,1768031,2192,807,762,690,649,13.87,882,8.17,,V,,109年度因持續辦理擴大招募，故任職滿6個月未滿12個月(未全年度在職)人數佔13%，此部份員工未領滿全年度薪資，故影響我司平均年薪低於同業水準。
運動休閒,8462,柏文,1055641,1511,699,762,601,670,5.67,809,4.45,,,,
其他,8463,潤泰材,183801,298,617,597,548,512,0.87,855,3.23,,,,
居家生活,8464,億豐,276346,219,"1,262","1,344","1,030","1,021",16.36,664,5.27,,,V,非擔任主管職務之員工薪資平均數仍高於同業，茲將本年度減少原因分析如下：1.109年晉升四位經理人，故非擔任主管職務之全時員工薪資總額較108年減少。2.109年新進員工較108年增加，相對造成平均薪資略為減少。
綠能環保,8473,山林水,282700,547,517,537,449,454,1.15,797,3.81,,,,
綠能環保,8476,台境*,49675,89,558,560,506,498,-1.06,797,3.81,,,V,本公司EPS雖較前一年成長，但仍屬虧損階段，且員工薪資平均數與前一年度差異不大，薪資水準與公司營運績效連結尚屬合理。
運動休閒,8478,東哥遊艇,359023,498,721,740,664,691,1.04,809,4.45,,,V,薪酬分為固定與變動，以求充份反映個人與團隊績效。基於不同獎酬目的，提供多元薪資組合，如績效獎金、員工酬勞等。當經營績效佳，亦會反映於員工整體薪酬中，如公司年度有獲利，將提撥不低於1%為員工酬勞。
其他,8481,政伸,253798,240,"1,057",909,977,869,12.51,855,3.23,,,,
油電燃氣業,8926,台汽電,133434,113,"1,181","1,208","1,003","1,033",1.81,1117,0.99,,,,
觀光餐旅,8940,新天地,208302,389,535,480,469,426,-0.86,537,0.56,,,,
電機機械,8996,高力,333989,469,712,746,671,705,1.26,713,1.57,,,,
